"response2"	"Answer.condition"	"root"	"item"	"context"	"workerid"	"response1"	"slide_number"	"category"	"Answer.time_in_minutes"	"condition"	"participant"
NA	18	"tattoo"	"real"	"It is hard to believe that having a XXX is fine now. This would have been unacceptable in our day. We were always taught that YYY were bad."	0	"tattoos"	35	"noun"	23.77995	"filler"	"18cond-trials"
"taller"	18	"tall"	"real"	"I met a XXX person today. I don't think I've ever met anyone so XXX. They were definitely the YYY person I've met. They were even YYY than you."	0	"tallest"	36	"adjective"	23.77995	"filler"	"18cond-trials"
NA	18	"nilt"	"nonce"	"My favorite animal is the XXX. They are impressive creatures. I saw a group of YYY during our trip last summer and I was so excited."	0	"nilts"	37	"noun"	23.77995	"18"	"18cond-trials"
"farmed"	18	"farm"	"real"	"Nobody wants to XXX these days. I don't know why people don't XXX. This country has a long tradition of YYY. Years ago everyone YYY and life was much better."	0	"farming"	38	"verb"	23.77995	"filler"	"18cond-trials"
"skied"	18	"ski"	"real"	"When I was a kid I used to XXX. My father taught me to XXX. I used to enjoy YYY very much. But I probably YYY one too many times."	0	"skiing"	39	"verb"	23.77995	"filler"	"18cond-trials"
"wolped"	18	"wolp"	"nonce"	"Nick tries to XXX every day. He gets off work early so he can XXX. He says that YYY holds his life together. But I YYY once, and it was nothing special."	0	"wolping"	40	"verb"	23.77995	"18"	"18cond-trials"
"tulverer"	18	"tulver"	"nonce"	"Here is a XXX thing. Here are two other things that are XXX. This one is the YYY of them all. It is YYY than the rest."	0	"tulverest"	41	"adjective"	23.77995	"18"	"18cond-trials"
"sneller"	18	"snell"	"nonce"	"The painting looked XXX. She had worked hard to create such a XXX piece. This was her YYY painting yet. It was YYY than all the previous ones combined."	0	"snellest"	42	"adjective"	23.77995	"18"	"18cond-trials"
"bized"	18	"bize"	"nonce"	"It's difficult to XXX. I've always found it hard to XXX. Some people say YYY is easy. But I YYY last week and I can tell you it's not easy."	0	"bizing"	43	"verb"	23.77995	"18"	"18cond-trials"
"teeper"	18	"teep"	"nonce"	"My mom's food always tastes XXX. She learnt to cook XXX food from her mom. I think she makes the YYY food in the world. Or at least, YYY food than my dad does."	0	"teepest"	44	"adjective"	23.77995	"18"	"18cond-trials"
"jogged"	18	"jog"	"real"	"Everyone wants to XXX. Magazines are telling me to XXX. It seems like YYY is cool. But I YYY last week, and I don't see what all the fuss is about."	0	"jogging"	45	"verb"	23.77995	"filler"	"18cond-trials"
NA	18	"jate"	"nonce"	"The camera followed the XXX for some time. It was on its way to meet other YYY near the beach."	0	"jates"	46	"noun"	23.77995	"18"	"18cond-trials"
NA	18	"kita"	"nonce"	"There was a group of kids playing with a XXX down the street. Did you see it? I think it might be one of Terry's YYY."	0	"kitas"	47	"noun"	23.77995	"18"	"18cond-trials"
NA	18	"glark"	"nonce"	"There was no doubt in my mind that a great XXX like this one was John's. I had seen a set of YYY in his yard last summer and this had to be one of them."	0	"glarks"	48	"noun"	23.77995	"18"	"18cond-trials"
"cheemed"	18	"cheem"	"nonce"	"Fred couldn't XXX. All he wanted was to XXX. Finally, he succeeded in YYY. After he YYY his mind was at ease."	0	"cheeming"	49	"verb"	23.77995	"18"	"18cond-trials"
NA	19	"bear"	"real"	"This is a XXX. They are really enjoyable. This one is one of my sister's YYY."	0	"bears"	4	"noun"	6.17561666666667	"training"	"19cond-trials"
NA	19	"knit"	"real"	"I would love to learn how to XXX. My friend has been YYY recently and loves it."	0	"knitting"	5	"verb"	6.17561666666667	"training"	"19cond-trials"
NA	19	"cook"	"real"	"John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try."	0	"tried"	6	"verb"	6.17561666666667	"training"	"19cond-trials"
NA	19	"sweet"	"real"	"Such a XXX child! She really is the YYY child I've ever seen."	0	"sweetest"	7	"adjective"	6.17561666666667	"training"	"19cond-trials"
NA	19	"hard"	"real"	"This was a XXX problem. It was definitely YYY than other problems they had encountered."	0	"harder"	8	"adjective"	6.17561666666667	"training"	"19cond-trials"
"painted"	19	"paint"	"real"	"Jim loves to XXX all the time. It seems he was born to XXX. YYY is what he's good at. Last week he YYY six days out of seven."	0	"Painting"	10	"verb"	6.17561666666667	"filler"	"19cond-trials"
"fiffin"	19	"fiffin"	"nonce"	"You should XXX. It's always worthwhile to XXX. I'm YYY, and you should too. Last week you YYY, why won't you now?"	0	"fiffin"	11	"verb"	6.17561666666667	"19"	"19cond-trials"
"better"	19	"tesh"	"nonce"	"My mom's food always tastes XXX. She learnt to cook XXX food from her mom. I think she makes the YYY food in the world. Or at least, YYY food than my dad does."	0	"best"	12	"adjective"	6.17561666666667	"19"	"19cond-trials"
"zorched"	19	"zorch"	"nonce"	"Nick tries to XXX every day. He gets off work early so he can XXX. He says that YYY holds his life together. But I YYY once, and it was nothing special."	0	"zorching"	13	"verb"	6.17561666666667	"19"	"19cond-trials"
"nicer"	19	"soft"	"real"	"XXX things are nice. Some people disagree, but quite a few think XXX things are great. Well, at least everyone can agree that the YYY one of all is really nice. Nothing is YYY than that one."	0	"nicest"	14	"adjective"	6.17561666666667	"filler"	"19cond-trials"
NA	19	"nilt"	"nonce"	"Have you ever heard of a XXX? It grows in South America. There are YYY on the menu tonight for dinner."	0	"nilts"	15	"noun"	6.17561666666667	"19"	"19cond-trials"
"smaller"	19	"reng"	"nonce"	"This fruit is so XXX. I don't know if you like XXX things. Sam loves them. He always eats the YYY fruit in the bowl. I like it when they're a little YYY than this one, but not too much."	0	"smaller"	16	"adjective"	6.17561666666667	"19"	"19cond-trials"
"danded"	19	"dand"	"nonce"	"I don't want to XXX. I try not to XXX. I know that YYY isn't good for you. I know that because I YYY a lot when I was a teenager."	0	"danding"	17	"verb"	6.17561666666667	"19"	"19cond-trials"
NA	19	"jate"	"nonce"	"The officer wondered if this XXX had been left behind on purpose. YYY were not known to wander off on their own."	0	"Jates"	18	"noun"	6.17561666666667	"19"	"19cond-trials"
"better"	19	"tulver"	"nonce"	"They described it as a XXX place. I'm so excited to stay at a XXX resort. I hear that the spot we are going to is the YYY one on the whole coast, much YYY than the place they went to."	0	"best"	19	"adjective"	6.17561666666667	"19"	"19cond-trials"
"taller"	19	"tall"	"real"	"I met a XXX person today. I don't think I've ever met anyone so XXX. They were definitely the YYY person I've met. They were even YYY than you."	0	"tallest"	20	"adjective"	6.17561666666667	"filler"	"19cond-trials"
"fupped"	19	"fupp"	"nonce"	"Why won't John XXX? I want him to XXX. He's only tolerable when he's YYY. Like yesterday he YYY, and he was fine."	0	"fupping"	21	"verb"	6.17561666666667	"19"	"19cond-trials"
"goked"	19	"goke"	"nonce"	"Every day I like to XXX. I usually XXX first thing in the morning. After I'm finished YYY, I'm ready to start the day. This morning I YYY as usual."	0	"goking"	22	"verb"	6.17561666666667	"19"	"19cond-trials"
"coodled"	19	"coodle"	"nonce"	"Fred couldn't XXX. All he wanted was to XXX. Finally, he succeeded in YYY. After he YYY his mind was at ease."	0	"coodling"	23	"verb"	6.17561666666667	"19"	"19cond-trials"
NA	19	"pizer"	"nonce"	"This is a XXX. Now there is another one. There are two of them. There are two YYY."	0	"pizers"	24	"noun"	6.17561666666667	"19"	"19cond-trials"
NA	19	"glip"	"nonce"	"There was no doubt in my mind that a great XXX like this one was John's. I had seen a set of YYY in his yard last summer and this had to be one of them."	0	"them"	25	"noun"	6.17561666666667	"19"	"19cond-trials"
"stirererer"	19	"stire"	"nonce"	"Did he think this shirt was too XXX? Maybe it was not XXX enough. They decided that being the person with the YYY shirt at the party was probably not a bad thing. After glancing at them again, the second one seemed YYY than the first, so she chose to wear it."	0	"stire"	26	"adjective"	6.17561666666667	"19"	"19cond-trials"
NA	19	"kita"	"nonce"	"Did you give him a XXX for his birthday like he asked? I think they are his favorite. He will be asking you for some YYY, I know it."	0	"kita"	27	"noun"	6.17561666666667	"19"	"19cond-trials"
"jogged"	19	"jog"	"real"	"Everyone wants to XXX. Magazines are telling me to XXX. It seems like YYY is cool. But I YYY last week, and I don't see what all the fuss is about."	0	"jogging"	28	"verb"	6.17561666666667	"filler"	"19cond-trials"
"teeper"	19	"teep"	"nonce"	"I had a XXX day yesterday. It all started with a XXX phone call I got. This might be the YYY day I've ever had. Maybe even YYY than the day we went to the aquarium."	0	"teepest"	29	"adjective"	6.17561666666667	"19"	"19cond-trials"
NA	19	"leam"	"nonce"	"There was a group of kids playing with a XXX down the street. Did you see it? I think it might be one of Terry's YYY."	0	"leams"	30	"noun"	6.17561666666667	"19"	"19cond-trials"
"roaker"	19	"roak"	"nonce"	"It all looked too XXX. There here too many XXX tables. The YYY was one in the corner. It was far YYY than the others."	0	"roakest"	31	"adjective"	6.17561666666667	"19"	"19cond-trials"
"tigther"	19	"tight"	"real"	"Why are XXX pants popular? Most find XXX pants uncomfortable. For some reason though, people still try to wear the YYY ones they can find, always looking for a YYY pair than the last."	0	"tightest"	32	"adjective"	6.17561666666667	"filler"	"19cond-trials"
"wolpier"	19	"wolp"	"nonce"	"Here is a XXX thing. Here are two other things that are XXX. This one is the YYY of them all. It is YYY than the rest."	0	"wolpest"	33	"adjective"	6.17561666666667	"19"	"19cond-trials"
NA	19	"heach"	"nonce"	"Sam had left the building without her XXX. She told herself that there would be plenty of people with YYY that worked when she got there."	0	"heaches"	34	"noun"	6.17561666666667	"19"	"19cond-trials"
"slintier"	19	"slint"	"nonce"	"The woman became XXX after seeing it. Her friends laughed at how XXX she was. There was no reason for her to be the YYY person in the room. Yet, she seemed YYY than everyone present."	0	"slintest"	35	"adjective"	6.17561666666667	"19"	"19cond-trials"
"cheemed"	19	"cheem"	"nonce"	"It's difficult to XXX. I've always found it hard to XXX. Some people say YYY is easy. But I YYY last week and I can tell you it's not easy."	0	"cheeming"	36	"verb"	6.17561666666667	"19"	"19cond-trials"
NA	19	"cake"	"real"	"Did they ask about the XXX? I think we need to let them know by tomorrow. I hear YYY are in scarce quantity at the store."	0	"cakes"	37	"noun"	6.17561666666667	"filler"	"19cond-trials"
NA	19	"pet"	"real"	"I would like to have a XXX. They are great companions. I am envious of people who are fortunate enough to have more than one. If I could have many YYY, I would."	0	"pets"	38	"noun"	6.17561666666667	"filler"	"19cond-trials"
"binked"	19	"bink"	"nonce"	"Next week we're going to XXX. We've been waiting ages for the chance to XXX. We're reading a book about YYY. My friend YYY once before, but this will be my first time."	0	"binking"	39	"verb"	6.17561666666667	"19"	"19cond-trials"
NA	19	"tattoo"	"real"	"It is hard to believe that having a XXX is fine now. This would have been unacceptable in our day. We were always taught that YYY were bad."	0	"tattoos"	40	"noun"	6.17561666666667	"filler"	"19cond-trials"
"glarked"	19	"glark"	"nonce"	"I dream that one day I'll be able to XXX. The chance to XXX would be very exciting. I think I'd really enjoy YYY. My friend Sam YYY once and he loved it."	0	"glarking"	41	"verb"	6.17561666666667	"19"	"19cond-trials"
"snellier"	19	"snell"	"nonce"	"I like to watch movies that make me feel XXX. I'm a XXX person afterwards. After I watched this one I felt the YYY I've ever felt. I felt YYY than any other movie had made me feel."	0	"snellest"	42	"adjective"	6.17561666666667	"19"	"19cond-trials"
"stadder"	19	"stad"	"nonce"	"The painting looked XXX. She had worked hard to create such a XXX piece. This was her YYY painting yet. It was YYY than all the previous ones combined."	0	"staddest"	43	"adjective"	6.17561666666667	"19"	"19cond-trials"
"farmed"	19	"farm"	"real"	"Nobody wants to XXX these days. I don't know why people don't XXX. This country has a long tradition of YYY. Years ago everyone YYY and life was much better."	0	"farming"	44	"verb"	6.17561666666667	"filler"	"19cond-trials"
NA	19	"mense"	"nonce"	"The XXX was on the counter this morning. Dad doesn't know where it went. We can buy a few more YYY at the store later though."	0	"menses"	45	"noun"	6.17561666666667	"19"	"19cond-trials"
"skiied"	19	"ski"	"real"	"When I was a kid I used to XXX. My father taught me to XXX. I used to enjoy YYY very much. But I probably YYY one too many times."	0	"skiing"	46	"verb"	6.17561666666667	"filler"	"19cond-trials"
NA	19	"pank"	"nonce"	"My favorite animal is the XXX. They are impressive creatures. I saw a group of YYY during our trip last summer and I was so excited."	0	"panks"	47	"noun"	6.17561666666667	"19"	"19cond-trials"
NA	19	"kern"	"nonce"	"The camera followed the XXX for some time. It was on its way to meet other YYY near the beach."	0	"kern"	48	"noun"	6.17561666666667	"19"	"19cond-trials"
"bized"	19	"bize"	"nonce"	"Jane refuses to XXX. She's too frightened to XXX. I don't know why she's so scared of YYY. Everyone else YYY last year."	0	"bizing"	49	"verb"	6.17561666666667	"19"	"19cond-trials"
NA	1	"bear"	"real"	"This is a XXX. They are really enjoyable. This one is one of my sister's YYY."	0	"pets"	4	"noun"	16.5602833333333	"training"	"1cond-trials"
NA	1	"knit"	"real"	"I would love to learn how to XXX. My friend has been YYY recently and loves it."	0	"knitting"	5	"verb"	16.5602833333333	"training"	"1cond-trials"
NA	1	"cook"	"real"	"John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try."	0	"cooked"	6	"verb"	16.5602833333333	"training"	"1cond-trials"
NA	1	"sweet"	"real"	"Such a XXX child! She really is the YYY child I've ever seen."	0	"sweetest"	7	"adjective"	16.5602833333333	"training"	"1cond-trials"
NA	1	"hard"	"real"	"This was a XXX problem. It was definitely YYY than other problems they had encountered."	0	"harder"	8	"adjective"	16.5602833333333	"training"	"1cond-trials"
NA	1	"pet"	"real"	"I would like to have a XXX. They are great companions. I am envious of people who are fortunate enough to have more than one. If I could have many YYY, I would."	0	"pets"	10	"noun"	16.5602833333333	"filler"	"1cond-trials"
"tighter"	1	"tight"	"real"	"Why are XXX pants popular? Most find XXX pants uncomfortable. For some reason though, people still try to wear the YYY ones they can find, always looking for a YYY pair than the last."	0	"tightest"	11	"adjective"	16.5602833333333	"filler"	"1cond-trials"
NA	1	"wolp"	"nonce"	"Have you ever heard of a XXX? It grows in South America. There are YYY on the menu tonight for dinner."	0	"wolps"	12	"noun"	16.5602833333333	"1"	"1cond-trials"
"glipper"	1	"glip"	"nonce"	"They described it as a XXX place. I'm so excited to stay at a XXX resort. I hear that the spot we are going to is the YYY one on the whole coast, much YYY than the place they went to."	0	"glippest"	13	"adjective"	16.5602833333333	"1"	"1cond-trials"
"mensed"	1	"mense"	"nonce"	"Fred couldn't XXX. All he wanted was to XXX. Finally, he succeeded in YYY. After he YYY his mind was at ease."	0	"mensing"	14	"verb"	16.5602833333333	"1"	"1cond-trials"
"kerned"	1	"kern"	"nonce"	"Next week we're going to XXX. We've been waiting ages for the chance to XXX. We're reading a book about YYY. My friend YYY once before, but this will be my first time."	0	"kerning"	15	"verb"	16.5602833333333	"1"	"1cond-trials"
"jated"	1	"jate"	"nonce"	"Nick tries to XXX every day. He gets off work early so he can XXX. He says that YYY holds his life together. But I YYY once, and it was nothing special."	0	"jating"	16	"verb"	16.5602833333333	"1"	"1cond-trials"
"leamed"	1	"leam"	"nonce"	"It's difficult to XXX. I've always found it hard to XXX. Some people say YYY is easy. But I YYY last week and I can tell you it's not easy."	0	"leaming"	17	"verb"	16.5602833333333	"1"	"1cond-trials"
NA	1	"bink"	"nonce"	"This is a XXX. Now there is another one. There are two of them. There are two YYY."	0	"binks"	18	"noun"	16.5602833333333	"1"	"1cond-trials"
NA	1	"slint"	"nonce"	"There was no doubt in my mind that a great XXX like this one was John's. I had seen a set of YYY in his yard last summer and this had to be one of them."	0	"slints"	19	"noun"	16.5602833333333	"1"	"1cond-trials"
"fiffiner"	1	"fiffin"	"nonce"	"The painting looked XXX. She had worked hard to create such a XXX piece. This was her YYY painting yet. It was YYY than all the previous ones combined."	0	"fiffinest"	20	"adjective"	16.5602833333333	"1"	"1cond-trials"
NA	1	"stire"	"nonce"	"The camera followed the XXX for some time. It was on its way to meet other YYY near the beach."	0	"stires"	21	"noun"	16.5602833333333	"1"	"1cond-trials"
NA	1	"tulver"	"nonce"	"The XXX was on the counter this morning. Dad doesn't know where it went. We can buy a few more YYY at the store later though."	0	"tulvers"	22	"noun"	16.5602833333333	"1"	"1cond-trials"
NA	1	"zorch"	"nonce"	"My favorite animal is the XXX. They are impressive creatures. I saw a group of YYY during our trip last summer and I was so excited."	0	"zorches"	23	"noun"	16.5602833333333	"1"	"1cond-trials"
"softer"	1	"soft"	"real"	"XXX things are nice. Some people disagree, but quite a few think XXX things are great. Well, at least everyone can agree that the YYY one of all is really nice. Nothing is YYY than that one."	0	"softest"	24	"adjective"	16.5602833333333	"filler"	"1cond-trials"
NA	1	"snell"	"nonce"	"Sam had left the building without her XXX. She told herself that there would be plenty of people with YYY that worked when she got there."	0	"snells"	25	"noun"	16.5602833333333	"1"	"1cond-trials"
"pizered"	1	"pizer"	"nonce"	"Why won't John XXX? I want him to XXX. He's only tolerable when he's YYY. Like yesterday he YYY, and he was fine."	0	"pizering"	26	"verb"	16.5602833333333	"1"	"1cond-trials"
"cheemer"	1	"cheem"	"nonce"	"This fruit is so XXX. I don't know if you like XXX things. Sam loves them. He always eats the YYY fruit in the bowl. I like it when they're a little YYY than this one, but not too much."	0	"cheemest"	27	"adjective"	16.5602833333333	"1"	"1cond-trials"
"heacher"	1	"heach"	"nonce"	"Here is a XXX thing. Here are two other things that are XXX. This one is the YYY of them all. It is YYY than the rest."	0	"heachest"	28	"adjective"	16.5602833333333	"1"	"1cond-trials"
"jogged"	1	"jog"	"real"	"Everyone wants to XXX. Magazines are telling me to XXX. It seems like YYY is cool. But I YYY last week, and I don't see what all the fuss is about."	0	"jogging"	29	"verb"	16.5602833333333	"filler"	"1cond-trials"
NA	1	"teep"	"nonce"	"Did you give him a XXX for his birthday like he asked? I think they are his favorite. He will be asking you for some YYY, I know it."	0	"teeps"	30	"noun"	16.5602833333333	"1"	"1cond-trials"
"glarkier"	1	"glark"	"nonce"	"My mom's food always tastes XXX. She learnt to cook XXX food from her mom. I think she makes the YYY food in the world. Or at least, YYY food than my dad does."	0	"glarkiest"	31	"adjective"	16.5602833333333	"1"	"1cond-trials"
NA	1	"stad"	"nonce"	"The officer wondered if this XXX had been left behind on purpose. YYY were not known to wander off on their own."	0	"Stads"	32	"noun"	16.5602833333333	"1"	"1cond-trials"
NA	1	"tattoo"	"real"	"It is hard to believe that having a XXX is fine now. This would have been unacceptable in our day. We were always taught that YYY were bad."	0	"tattoos"	33	"noun"	16.5602833333333	"filler"	"1cond-trials"
"fuppier"	1	"fupp"	"nonce"	"Did he think this shirt was too XXX? Maybe it was not XXX enough. They decided that being the person with the YYY shirt at the party was probably not a bad thing. After glancing at them again, the second one seemed YYY than the first, so she chose to wear it."	0	"fuppy"	34	"adjective"	16.5602833333333	"1"	"1cond-trials"
"rengged"	1	"reng"	"nonce"	"I dream that one day I'll be able to XXX. The chance to XXX would be very exciting. I think I'd really enjoy YYY. My friend Sam YYY once and he loved it."	0	"rengging"	35	"verb"	16.5602833333333	"1"	"1cond-trials"
"taller"	1	"tall"	"real"	"I met a XXX person today. I don't think I've ever met anyone so XXX. They were definitely the YYY person I've met. They were even YYY than you."	0	"tallest"	36	"adjective"	16.5602833333333	"filler"	"1cond-trials"
"dandier"	1	"dand"	"nonce"	"I like to watch movies that make me feel XXX. I'm a XXX person afterwards. After I watched this one I felt the YYY I've ever felt. I felt YYY than any other movie had made me feel."	0	"dandiest"	37	"adjective"	16.5602833333333	"1"	"1cond-trials"
"nilted"	1	"nilt"	"nonce"	"I don't want to XXX. I try not to XXX. I know that YYY isn't good for you. I know that because I YYY a lot when I was a teenager."	0	"nilting"	38	"verb"	16.5602833333333	"1"	"1cond-trials"
"roaked"	1	"roak"	"nonce"	"Every day I like to XXX. I usually XXX first thing in the morning. After I'm finished YYY, I'm ready to start the day. This morning I YYY as usual."	0	"roaking"	39	"verb"	16.5602833333333	"1"	"1cond-trials"
"panked"	1	"pank"	"nonce"	"You should XXX. It's always worthwhile to XXX. I'm YYY, and you should too. Last week you YYY, why won't you now?"	0	"panking"	40	"verb"	16.5602833333333	"1"	"1cond-trials"
"kitaed"	1	"kita"	"nonce"	"Jane refuses to XXX. She's too frightened to XXX. I don't know why she's so scared of YYY. Everyone else YYY last year."	0	"kitaing"	41	"verb"	16.5602833333333	"1"	"1cond-trials"
NA	1	"cake"	"real"	"Did they ask about the XXX? I think we need to let them know by tomorrow. I hear YYY are in scarce quantity at the store."	0	"cakes"	42	"noun"	16.5602833333333	"filler"	"1cond-trials"
"coodler"	1	"coodle"	"nonce"	"The woman became XXX after seeing it. Her friends laughed at how XXX she was. There was no reason for her to be the YYY person in the room. Yet, she seemed YYY than everyone present."	0	"coodlest"	43	"adjective"	16.5602833333333	"1"	"1cond-trials"
"bizer"	1	"bize"	"nonce"	"It all looked too XXX. There here too many XXX tables. The YYY was one in the corner. It was far YYY than the others."	0	"bizest"	44	"adjective"	16.5602833333333	"1"	"1cond-trials"
"goker"	1	"goke"	"nonce"	"I had a XXX day yesterday. It all started with a XXX phone call I got. This might be the YYY day I've ever had. Maybe even YYY than the day we went to the aquarium."	0	"gokest"	45	"adjective"	16.5602833333333	"1"	"1cond-trials"
"skied"	1	"ski"	"real"	"When I was a kid I used to XXX. My father taught me to XXX. I used to enjoy YYY very much. But I probably YYY one too many times."	0	"skiing"	46	"verb"	16.5602833333333	"filler"	"1cond-trials"
"painted"	1	"paint"	"real"	"Jim loves to XXX all the time. It seems he was born to XXX. YYY is what he's good at. Last week he YYY six days out of seven."	0	"Painting"	47	"verb"	16.5602833333333	"filler"	"1cond-trials"
NA	1	"tesh"	"nonce"	"There was a group of kids playing with a XXX down the street. Did you see it? I think it might be one of Terry's YYY."	0	"teshes"	48	"noun"	16.5602833333333	"1"	"1cond-trials"
"farmed"	1	"farm"	"real"	"Nobody wants to XXX these days. I don't know why people don't XXX. This country has a long tradition of YYY. Years ago everyone YYY and life was much better."	0	"farming"	49	"verb"	16.5602833333333	"filler"	"1cond-trials"
NA	20	"bear"	"real"	"This is a XXX. They are really enjoyable. This one is one of my sister's YYY."	0	"favorties"	4	"noun"	13.0430666666667	"training"	"20cond-trials"
NA	20	"knit"	"real"	"I would love to learn how to XXX. My friend has been YYY recently and loves it."	0	"knitting"	5	"verb"	13.0430666666667	"training"	"20cond-trials"
NA	20	"cook"	"real"	"John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try."	0	"tried"	6	"verb"	13.0430666666667	"training"	"20cond-trials"
NA	20	"sweet"	"real"	"Such a XXX child! She really is the YYY child I've ever seen."	0	"sweetest"	7	"adjective"	13.0430666666667	"training"	"20cond-trials"
NA	20	"hard"	"real"	"This was a XXX problem. It was definitely YYY than other problems they had encountered."	0	"more difficutl"	8	"adjective"	13.0430666666667	"training"	"20cond-trials"
NA	20	"pizer"	"nonce"	"My favorite animal is the XXX. They are impressive creatures. I saw a group of YYY during our trip last summer and I was so excited."	0	"pizers'"	10	"noun"	13.0430666666667	"20"	"20cond-trials"
NA	20	"nilt"	"nonce"	"The XXX was on the counter this morning. Dad doesn't know where it went. We can buy a few more YYY at the store later though."	0	"nilts"	11	"noun"	13.0430666666667	"20"	"20cond-trials"
NA	20	"jate"	"nonce"	"Sam had left the building without her XXX. She told herself that there would be plenty of people with YYY that worked when she got there."	0	"jates"	12	"noun"	13.0430666666667	"20"	"20cond-trials"
NA	20	"kern"	"nonce"	"The officer wondered if this XXX had been left behind on purpose. YYY were not known to wander off on their own."	0	"Kerns'"	13	"noun"	13.0430666666667	"20"	"20cond-trials"
NA	20	"tattoo"	"real"	"It is hard to believe that having a XXX is fine now. This would have been unacceptable in our day. We were always taught that YYY were bad."	0	"tattoos"	14	"noun"	13.0430666666667	"filler"	"20cond-trials"
"skied"	20	"ski"	"real"	"When I was a kid I used to XXX. My father taught me to XXX. I used to enjoy YYY very much. But I probably YYY one too many times."	0	"skiing"	15	"verb"	13.0430666666667	"filler"	"20cond-trials"
"much better taster of tulver"	20	"tulver"	"nonce"	"My mom's food always tastes XXX. She learnt to cook XXX food from her mom. I think she makes the YYY food in the world. Or at least, YYY food than my dad does."	0	"best"	16	"adjective"	13.0430666666667	"20"	"20cond-trials"
"farmed"	20	"farm"	"real"	"Nobody wants to XXX these days. I don't know why people don't XXX. This country has a long tradition of YYY. Years ago everyone YYY and life was much better."	0	"farming"	17	"verb"	13.0430666666667	"filler"	"20cond-trials"
NA	20	"kita"	"nonce"	"The camera followed the XXX for some time. It was on its way to meet other YYY near the beach."	0	"kita's"	18	"noun"	13.0430666666667	"20"	"20cond-trials"
"goked"	20	"goke"	"nonce"	"Why won't John XXX? I want him to XXX. He's only tolerable when he's YYY. Like yesterday he YYY, and he was fine."	0	"goked"	19	"verb"	13.0430666666667	"20"	"20cond-trials"
"softer"	20	"soft"	"real"	"XXX things are nice. Some people disagree, but quite a few think XXX things are great. Well, at least everyone can agree that the YYY one of all is really nice. Nothing is YYY than that one."	0	"softest"	20	"adjective"	13.0430666666667	"filler"	"20cond-trials"
"binked"	20	"bink"	"nonce"	"Nick tries to XXX every day. He gets off work early so he can XXX. He says that YYY holds his life together. But I YYY once, and it was nothing special."	0	"binking"	21	"verb"	13.0430666666667	"20"	"20cond-trials"
"danded"	20	"dand"	"nonce"	"Fred couldn't XXX. All he wanted was to XXX. Finally, he succeeded in YYY. After he YYY his mind was at ease."	0	"danding"	22	"verb"	13.0430666666667	"20"	"20cond-trials"
"glarked"	20	"glark"	"nonce"	"Every day I like to XXX. I usually XXX first thing in the morning. After I'm finished YYY, I'm ready to start the day. This morning I YYY as usual."	0	"glarking"	23	"verb"	13.0430666666667	"20"	"20cond-trials"
"fiffined"	20	"fiffin"	"nonce"	"I don't want to XXX. I try not to XXX. I know that YYY isn't good for you. I know that because I YYY a lot when I was a teenager."	0	"fiffining"	24	"verb"	13.0430666666667	"20"	"20cond-trials"
"painted"	20	"paint"	"real"	"Jim loves to XXX all the time. It seems he was born to XXX. YYY is what he's good at. Last week he YYY six days out of seven."	0	"Painting"	25	"verb"	13.0430666666667	"filler"	"20cond-trials"
NA	20	"leam"	"nonce"	"Did you give him a XXX for his birthday like he asked? I think they are his favorite. He will be asking you for some YYY, I know it."	0	"leam"	26	"noun"	13.0430666666667	"20"	"20cond-trials"
"slinter"	20	"slint"	"nonce"	"This fruit is so XXX. I don't know if you like XXX things. Sam loves them. He always eats the YYY fruit in the bowl. I like it when they're a little YYY than this one, but not too much."	0	"slinit"	27	"adjective"	13.0430666666667	"20"	"20cond-trials"
"tepper"	20	"teep"	"nonce"	"Did he think this shirt was too XXX? Maybe it was not XXX enough. They decided that being the person with the YYY shirt at the party was probably not a bad thing. After glancing at them again, the second one seemed YYY than the first, so she chose to wear it."	0	"teep"	28	"adjective"	13.0430666666667	"20"	"20cond-trials"
"sneeper"	20	"snell"	"nonce"	"The woman became XXX after seeing it. Her friends laughed at how XXX she was. There was no reason for her to be the YYY person in the room. Yet, she seemed YYY than everyone present."	0	"sneepest"	29	"adjective"	13.0430666666667	"20"	"20cond-trials"
"cheemed"	20	"cheem"	"nonce"	"Jane refuses to XXX. She's too frightened to XXX. I don't know why she's so scared of YYY. Everyone else YYY last year."	0	"cheeming"	30	"verb"	13.0430666666667	"20"	"20cond-trials"
"wolper"	20	"wolp"	"nonce"	"They described it as a XXX place. I'm so excited to stay at a XXX resort. I hear that the spot we are going to is the YYY one on the whole coast, much YYY than the place they went to."	0	"wolpest"	31	"adjective"	13.0430666666667	"20"	"20cond-trials"
NA	20	"roak"	"nonce"	"This is a XXX. Now there is another one. There are two of them. There are two YYY."	0	"roaks."	32	"noun"	13.0430666666667	"20"	"20cond-trials"
"reng"	20	"reng"	"nonce"	"It all looked too XXX. There here too many XXX tables. The YYY was one in the corner. It was far YYY than the others."	0	"reng"	33	"adjective"	13.0430666666667	"20"	"20cond-trials"
"tight"	20	"tight"	"real"	"Why are XXX pants popular? Most find XXX pants uncomfortable. For some reason though, people still try to wear the YYY ones they can find, always looking for a YYY pair than the last."	0	"tightest"	34	"adjective"	13.0430666666667	"filler"	"20cond-trials"
